word,gender,anim,sim_score,frequency,syllables,phonemes
невеста,ж,одуш,4.0019998298957935,31.7,3,7
белка,ж,одуш,14.323015850037336,11.6,2,5
корова,ж,одуш,18.825495981611308,44.8,3,6
зебра,ж,одуш,21.760235385037962,1.9,2,5
курица,ж,одуш,21.830484483391047,33.1,3,6
улитка,ж,одуш,21.979149110615253,3.0,3,6
акула,ж,одуш,23.46063853194937,9.3,3,5
рыба,ж,одуш,23.65221232175827,86.0,2,4
стрекоза,ж,одуш,25.805244384333488,4.1,3,8
бабочка,ж,одуш,26.007985634263605,21.3,3,7
черепаха,ж,одуш,26.066275669494644,6.3,4,8
гусеница,ж,одуш,27.070030972827226,10.6,4,8
ящерица,ж,одуш,28.06710329174529,3.6,4,8
газета,ж,неод,7.749365140451117,237.5,3,6
мельница,ж,неод,14.569614723324776,10.5,3,7
пирамида,ж,неод,15.465359239900865,16.0,4,8
звезда,ж,неод,15.627348062815145,122.7,2,6
роза,ж,неод,16.935119856570964,42.7,2,4
форточка,ж,неод,17.194752851501107,10.0,3,8
коридор,ж,неод,17.37600508145988,110.8,3,7
карта,ж,неод,18.13255526893772,103.0,2,5
гитара,ж,неод,18.494894254952676,22.2,3,6
конфета,ж,неод,19.490612532012165,19.6,3,7
спичка,ж,неод,19.607467960566282,20.3,2,6
паутина,ж,неод,19.69375445647165,11.3,4,7
колбаса,ж,неод,20.154989854898304,28.0,3,7
цепь,ж,неод,20.356470240512863,51.5,1,3
пальма,ж,неод,20.394561804831028,14.3,2,5
кость,ж,неод,20.562255832192022,58.5,1,4
клетка,ж,неод,20.796989089343697,109.6,2,6
лампа,ж,неод,20.939461772795767,34.0,2,5
рука,ж,неод,21.144080749712888,1200.6,2,4
корона,ж,неод,21.240578784374517,9.4,3,6
ракета,ж,неод,21.40191199071705,62.9,3,6
груша,ж,неод,21.463016418900228,10.6,2,5
шуба,ж,неод,22.06367639917881,18.7,2,4
майка,ж,неод,22.82596609838947,15.2,2,5
щетка,ж,неод,22.880921944044534,9.9,2,5
коляска,ж,неод,23.314226023852825,16.8,3,7
пуговица,ж,неод,23.65178481955081,19.8,4,8
лев,м,одуш,7.259442069553188,64.3,1,3
боксер,м,одуш,9.568091794848444,5.3,2,6
охотник,м,одуш,13.201239626388993,26.9,3,7
клоун,м,одуш,15.006975499447437,13.9,2,5
робот,м,одуш,15.33824120182544,8.7,2,5
лебедь,м,одуш,15.56663449946791,14.9,2,5
официант,м,одуш,15.91615542944055,20.7,4,8
пингвин,м,одуш,17.312318156473342,3.9,2,7
лось,м,одуш,19.097467788960785,6.5,1,3
муравей,м,одуш,20.083341785240922,12.1,3,7
дятел,м,одуш,20.281094403937463,3.1,2,5
кит,м,одуш,20.335967455990613,10.7,1,3
носорог,м,одуш,20.86607921309769,2.1,3,7
страус,м,одуш,21.105431868229054,3.1,2,6
верблюд,м,одуш,21.153504566289485,11.2,2,7
кенгуру,м,одуш,22.293444074690342,2.1,3,7
жираф,м,одуш,23.361651074141264,2.6,2,5
тигр,м,одуш,23.4641229910776,15.2,1,4
осьминог,м,одуш,23.93851589644328,1.7,3,7
петух,м,одуш,24.07167181163095,16.0,2,5
журнал,м,неод,7.079756369348615,162.0,2,6
мозг,м,неод,9.430753808643203,84.5,1,4
оркестр,м,неод,11.276590639259664,44.2,2,7
стадион,м,неод,12.632464305497706,17.6,3,7
глаз,м,неод,14.50009760505054,857.6,1,4
сыр,м,неод,15.510908998548985,19.5,1,3
колокол,м,неод,15.850385161116721,15.8,3,7
танк,м,неод,16.702435788698494,52.6,1,4
карман,м,неод,17.926802620175298,120.5,2,6
ключ,м,неод,18.10265248641372,78.0,1,4
кулак,м,неод,18.90689646732062,62.5,2,5
руль,м,неод,19.44646623171866,43.3,1,3
автобус,м,неод,19.52881788834929,64.8,3,7
квадрат,м,неод,19.662876285612587,16.9,2,7
самолет,м,неод,19.695474984589964,166.1,3,7
вертолет,м,неод,19.897893611341715,38.7,3,8
костюм,м,неод,20.097581631678626,81.3,2,6
флаг,м,неод,20.204079099930826,29.4,1,4
локоть,м,неод,20.21652367897332,40.2,2,5
якорь,м,неод,20.362440112134205,25.9,2,5
свеча,ж,неод,21.10068354010582,31.6,2,5
колодец,м,неод,20.438514805282463,23.9,3,7
трубка,ж,неод,23.513820512220263,101.7,2,6
нос,м,неод,21.33249431056901,138.8,1,3